slash_ship,gen_ship,members_no,fandom,rpf_or_fic,gender_combo,race_combo,member_1,member_2,member_3,member_4
Axel x Roxas,Axel & Roxas,2,Kingdom Hearts,fictional,M / M,Ambig,Kingdom Hearts - Axel,Kingdom Hearts - Roxas,None,None
Gary 'Eggsy' Unwin x Harry Hart,Gary 'Eggsy' Unwin & Harry Hart,2,Kingsman,fictional,M / M,White,Kingsman - Gary 'Eggsy' Unwin,Kingsman - Harry Hart,None,None
Kim Theerapanyakun | Wik x Porchay Pichaya Kittisawat,Kim Theerapanyakun | Wik & Porchay Pichaya Kittisawat,2,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,fictional,M / M,SE Asian,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Kim Theerapanyakun | Wik,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Porchay Pichaya Kittisawat,None,None
Kinn Anakinn Theerapanyakun x Porsche Pachara Kittisawat,Kinn Anakinn Theerapanyakun & Porsche Pachara Kittisawat,2,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,fictional,M / M,SE Asian,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Kinn Anakinn Theerapanyakun,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Porsche Pachara Kittisawat,None,None
Pete Phongsakorn Saengtham x Vegas Kornwit Theerapanyakun,Pete Phongsakorn Saengtham & Vegas Kornwit Theerapanyakun,2,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,fictional,M / M,SE Asian,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Pete Phongsakorn Saengtham,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์ - Vegas Kornwit Theerapanyakun,None,None
Alexandra Cabot x Olivia Benson,Alexandra Cabot & Olivia Benson,2,Law & Order,fictional,F / F,White,Law & Order - Alexandra Cabot,Law & Order - Olivia Benson,None,None
Elliot Stabler x Olivia Benson,Elliot Stabler & Olivia Benson,2,Law & Order,fictional,M / F,White,Law & Order - Elliot Stabler,Law & Order - Olivia Benson,None,None
Cara Mason x Kahlan Amnell,Cara Mason & Kahlan Amnell,2,Legend of the Seeker,fictional,F / F,White,Legend of the Seeker - Cara Mason,Legend of the Seeker - Kahlan Amnell,None,None
Cosette Fauchelevent x Marius Pontmercy,Cosette Fauchelevent & Marius Pontmercy,2,Les Misérables,fictional,F / M,White,Les Misérables - Cosette Fauchelevent,Les Misérables - Marius Pontmercy,None,None
Cosette Fauchelevent x Éponine Thénardier,Cosette Fauchelevent & Éponine Thénardier,2,Les Misérables,fictional,F / F,White / Ambig,Les Misérables - Cosette Fauchelevent,Les Misérables - Éponine Thénardier,None,None
Courfeyrac x Jean Prouvaire,Courfeyrac & Jean Prouvaire,2,Les Misérables,fictional,M / M,White,Les Misérables - Courfeyrac,Les Misérables - Jean Prouvaire,None,None
Enjolras x Grantaire,Enjolras & Grantaire,2,Les Misérables,fictional,M / M,White,Les Misérables - Enjolras,Les Misérables - Grantaire,None,None
Javert x Jean Valjean,Javert & Jean Valjean,2,Les Misérables,fictional,M / M,White,Les Misérables - Javert,Les Misérables - Jean Valjean,None,None
Chloe Price x Maxine 'Max' Caulfield,Chloe Price & Maxine 'Max' Caulfield,2,Life Is Strange,fictional,F / F,White,Life Is Strange - Chloe Price,Life Is Strange - Maxine 'Max' Caulfield,None,None
Chloe Price x Rachel Amber,Chloe Price & Rachel Amber,2,Life Is Strange,fictional,F / F,White,Life Is Strange - Chloe Price,Life Is Strange - Rachel Amber,None,None
Maxine 'Max' Caulfield x Victoria Chase,Maxine 'Max' Caulfield & Victoria Chase,2,Life Is Strange,fictional,F / F,White,Life Is Strange - Maxine 'Max' Caulfield,Life Is Strange - Victoria Chase,None,None
Gene Hunt x Sam Tyler,Gene Hunt & Sam Tyler,2,Life on Mars,fictional,M / M,White,Life on Mars - Gene Hunt,Life on Mars - Sam Tyler,None,None
Atsuko 'Akko' Kagari x Diana Cavendish,Atsuko 'Akko' Kagari & Diana Cavendish,2,Little Witch Academia | リトルウィッチアカデミア,fictional,F / F,E Asian / White,Little Witch Academia | リトルウィッチアカデミア - Atsuko 'Akko' Kagari,Little Witch Academia | リトルウィッチアカデミア - Diana Cavendish,None,None
Lizzie Bennet x William Darcy,Lizzie Bennet & William Darcy,2,Lizzie Bennet Diaries,fictional,F / M,White,Lizzie Bennet Diaries - Lizzie Bennet,Lizzie Bennet Diaries - William Darcy,None,None
Anthony Lockwood x Lucy Carlyle,Anthony Lockwood & Lucy Carlyle,2,Lockwood & Co.,fictional,M / F,White,Lockwood & Co. - Anthony Lockwood,Lockwood & Co. - Lucy Carlyle,None,None
Bilbo Baggins x Thorin Oakenshield,Bilbo Baggins & Thorin Oakenshield,2,Lord of the Rings Universe,fictional,M / M,White,Lord of the Rings Universe - Bilbo Baggins,Lord of the Rings Universe - Thorin Oakenshield,None,None
Frodo Baggins x Sam Gamgee,Frodo Baggins & Sam Gamgee,2,Lord of the Rings Universe,fictional,M / M,White,Lord of the Rings Universe - Frodo Baggins,Lord of the Rings Universe - Sam Gamgee,None,None
Fíli x Kíli,Fíli & Kíli,2,Lord of the Rings Universe,fictional,M / M,White,Lord of the Rings Universe - Fíli,Lord of the Rings Universe - Kíli,None,None
Sean Bean x Viggo Mortensen,Sean Bean & Viggo Mortensen,2,Lord of the Rings Universe,RPF,M / M,White,Lord of the Rings Universe - Sean Bean,Lord of the Rings Universe - Viggo Mortensen,None,None
Bo x Lauren Lewis,Bo & Lauren Lewis,2,Lost Girl,fictional,F / F,White,Lost Girl - Bo,Lost Girl - Lauren Lewis,None,None
Bo x Tamsin,Bo & Tamsin,2,Lost Girl,fictional,F / F,White,Lost Girl - Bo,Lost Girl - Tamsin,None,None
Ayase Eli x Toujou Nozomi,Ayase Eli & Toujou Nozomi,2,Love Live! | ラブライブ!,fictional,F / F,E Asian (Multi) / E Asian,Love Live! | ラブライブ! - Ayase Eli,Love Live! | ラブライブ! - Toujou Nozomi,None,None
Nishikino Maki x Yazawa Nico,Nishikino Maki & Yazawa Nico,2,Love Live! | ラブライブ!,fictional,F / F,E Asian,Love Live! | ラブライブ! - Nishikino Maki,Love Live! | ラブライブ! - Yazawa Nico,None,None
Chloe Decker x Lucifer Morningstar,Chloe Decker & Lucifer Morningstar,2,Lucifer,fictional,F / M,White,Lucifer - Chloe Decker,Lucifer - Lucifer Morningstar,None,None
Lo Hon-ting | Anson Lo x Lui Cheuk-on | Edan Lui,Lo Hon-ting | Anson Lo & Lui Cheuk-on | Edan Lui,2,MIRROR,RPF,M / M,E Asian,MIRROR - Lo Hon-ting | Anson Lo,MIRROR - Lui Cheuk-on | Edan Lui,None,None
Aurora x Maleficent,Aurora & Maleficent,2,Maleficent,fictional,F / F,White,Maleficent - Aurora,Maleficent - Maleficent,None,None
America Chavez | Ms. America x Kate Bishop | Hawkeye,America Chavez | Ms. America & Kate Bishop | Hawkeye,2,Marvel,fictional,F / F,Af Lat / White,Marvel - America Chavez | Ms. America,Marvel - Kate Bishop | Hawkeye,None,None
Angie Martinelli x Peggy Carter,Angie Martinelli & Peggy Carter,2,Marvel,fictional,F / F,White,Marvel - Angie Martinelli,Marvel - Peggy Carter,None,None
Bruce Banner | Hulk x Tony Stark | Iron Man,Bruce Banner | Hulk & Tony Stark | Iron Man,2,Marvel,fictional,M / M,White,Marvel - Bruce Banner | Hulk,Marvel - Tony Stark | Iron Man,None,None
Carol Danvers | Ms. Marvel/Captain Marvel x Maria Rambeau | Binary,Carol Danvers | Ms. Marvel/Captain Marvel & Maria Rambeau | Binary,2,Marvel,fictional,F / F,White / Black,Marvel - Carol Danvers | Ms. Marvel/Captain Marvel,Marvel - Maria Rambeau | Binary,None,None
Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Charles Xavier | Professor X & Erik Lehnsherr | Magneto,2,Marvel,fictional,M / M,White,Marvel - Charles Xavier | Professor X,Marvel - Erik Lehnsherr | Magneto,None,None
Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Clint Barton | Hawkeye & Natalia Alianovna 'Natasha' Romanova | Black Widow,2,Marvel,fictional,M / F,White,Marvel - Clint Barton | Hawkeye,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow,None,None
Clint Barton | Hawkeye x Phil Coulson,Clint Barton | Hawkeye & Phil Coulson,2,Marvel,fictional,M / M,White,Marvel - Clint Barton | Hawkeye,Marvel - Phil Coulson,None,None
Daisy Johnson | Skye x Grant Ward,Daisy Johnson | Skye & Grant Ward,2,Marvel,fictional,F / M,E Asian (Multi) / White,Marvel - Daisy Johnson | Skye,Marvel - Grant Ward,None,None
Daisy Johnson | Skye x Jemma Simmons,Daisy Johnson | Skye & Jemma Simmons,2,Marvel,fictional,F / F,E Asian (Multi) / White,Marvel - Daisy Johnson | Skye,Marvel - Jemma Simmons,None,None
Darcy Lewis x Natalia Alianovna 'Natasha' Romanova | Black Widow,Darcy Lewis & Natalia Alianovna 'Natasha' Romanova | Black Widow,2,Marvel,fictional,F / F,White,Marvel - Darcy Lewis,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow,None,None
Eddie Brock | Venom x Venom (Symbiote),Eddie Brock | Venom & Venom (Symbiote),2,Marvel,fictional,M / Other,White / N.H.,Marvel - Eddie Brock | Venom,Marvel - Venom (Symbiote),None,None
James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Samuel 'Sam' Wilson | Falcon/Captain America,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Samuel 'Sam' Wilson | Falcon/Captain America,2,Marvel,fictional,M / M,White / Black,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America,Marvel - Samuel 'Sam' Wilson | Falcon/Captain America,None,None
James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,2,Marvel,fictional,M / M,White,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America,Marvel - Steve Rogers | Captain America,None,None
James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Tony Stark | Iron Man,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Tony Stark | Iron Man,2,Marvel,fictional,M / M,White,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America,Marvel - Tony Stark | Iron Man,None,None
James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Y/N | Reader,2,Marvel,fictional,M / Ambig,White / Ambig,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America,Marvel - Y/N | Reader,None,None
Jane Foster | Thor x Thor Odinson,Jane Foster | Thor & Thor Odinson,2,Marvel,fictional,F / M,White,Marvel - Jane Foster | Thor,Marvel - Thor Odinson,None,None
Jemma Simmons x Leopold 'Leo' Fitz,Jemma Simmons & Leopold 'Leo' Fitz,2,Marvel,fictional,F / M,White,Marvel - Jemma Simmons,Marvel - Leopold 'Leo' Fitz,None,None
Kate Bishop | Hawkeye x Yelena Belova | Black Widow/White Widow,Kate Bishop | Hawkeye & Yelena Belova | Black Widow/White Widow,2,Marvel,fictional,F / F,White,Marvel - Kate Bishop | Hawkeye,Marvel - Yelena Belova | Black Widow/White Widow,None,None
Loki Laufeyson/Odinson x Mobius M. 'Moby' Mobius,Loki Laufeyson/Odinson & Mobius M. 'Moby' Mobius,2,Marvel,fictional,M | Other / M,White,Marvel - Loki Laufeyson/Odinson,Marvel - Mobius M. 'Moby' Mobius,None,None
Loki Laufeyson/Odinson x Thor Odinson,Loki Laufeyson/Odinson & Thor Odinson,2,Marvel,fictional,M | Other / M,White,Marvel - Loki Laufeyson/Odinson,Marvel - Thor Odinson,None,None
Loki Laufeyson/Odinson x Tony Stark | Iron Man,Loki Laufeyson/Odinson & Tony Stark | Iron Man,2,Marvel,fictional,M | Other / M,White,Marvel - Loki Laufeyson/Odinson,Marvel - Tony Stark | Iron Man,None,None
Loki Laufeyson/Odinson x Y/N | Reader,Loki Laufeyson/Odinson & Y/N | Reader,2,Marvel,fictional,M | Other / Ambig,White / Ambig,Marvel - Loki Laufeyson/Odinson,Marvel - Y/N | Reader,None,None
Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Maria Hill & Natalia Alianovna 'Natasha' Romanova | Black Widow,2,Marvel,fictional,F / F,White,Marvel - Maria Hill,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow,None,None
Michelle 'MJ' Jones x Peter Parker | Spiderman,Michelle 'MJ' Jones & Peter Parker | Spiderman,2,Marvel,fictional,F / M,Black (Multi) / White,Marvel - Michelle 'MJ' Jones,Marvel - Peter Parker | Spiderman,None,None
Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,Natalia Alianovna 'Natasha' Romanova | Black Widow & Virginia 'Pepper' Potts | Rescue,2,Marvel,fictional,F / F,White,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel - Virginia 'Pepper' Potts | Rescue,None,None
Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch,Natalia Alianovna 'Natasha' Romanova | Black Widow & Wanda Maximoff | Scarlet Witch,2,Marvel,fictional,F / F,White / Romani,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel - Wanda Maximoff | Scarlet Witch,None,None
Peter Parker | Spiderman x Tony Stark | Iron Man,Peter Parker | Spiderman & Tony Stark | Iron Man,2,Marvel,fictional,M / M,White,Marvel - Peter Parker | Spiderman,Marvel - Tony Stark | Iron Man,None,None
Peter Parker | Spiderman x Wade Wilson | Deadpool,Peter Parker | Spiderman & Wade Wilson | Deadpool,2,Marvel,fictional,M / M,White,Marvel - Peter Parker | Spiderman,Marvel - Wade Wilson | Deadpool,None,None
Stephen Strange | Doctor Strange x Tony Stark | Iron Man,Stephen Strange | Doctor Strange & Tony Stark | Iron Man,2,Marvel,fictional,M / M,White,Marvel - Stephen Strange | Doctor Strange,Marvel - Tony Stark | Iron Man,None,None
Steve Rogers | Captain America x Tony Stark | Iron Man,Steve Rogers | Captain America & Tony Stark | Iron Man,2,Marvel,fictional,M / M,White,Marvel - Steve Rogers | Captain America,Marvel - Tony Stark | Iron Man,None,None
Steve Rogers | Captain America x Y/N | Reader,Steve Rogers | Captain America & Y/N | Reader,2,Marvel,fictional,M / Ambig,White / Ambig,Marvel - Steve Rogers | Captain America,Marvel - Y/N | Reader,None,None
Teddy Altman | Hulkling x William 'Billy' Kaplan | Wiccan,Teddy Altman | Hulkling & William 'Billy' Kaplan | Wiccan,2,Marvel,fictional,M / M,N.H. / White,Marvel - Teddy Altman | Hulkling,Marvel - William 'Billy' Kaplan | Wiccan,None,None
Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Tony Stark | Iron Man & Virginia 'Pepper' Potts | Rescue,2,Marvel,fictional,M / F,White,Marvel - Tony Stark | Iron Man,Marvel - Virginia 'Pepper' Potts | Rescue,None,None
Garrus Vakarian x Shepard (Female) | Player Character,Garrus Vakarian & Shepard (Female) | Player Character,2,Mass Effect,fictional,M / F,N.H. / Ambig,Mass Effect - Garrus Vakarian,Mass Effect - Shepard (Female) | Player Character,None,None
Kaidan Alenko x Shepard (Male) | Player Character,Kaidan Alenko & Shepard (Male) | Player Character,2,Mass Effect,fictional,M / M,White / Ambig,Mass Effect - Kaidan Alenko,Mass Effect - Shepard (Male) | Player Character,None,None
Kaidan Alenko x Shepard | Player Character,Kaidan Alenko & Shepard | Player Character,2,Mass Effect,fictional,M / Ambig,White / Ambig,Mass Effect - Kaidan Alenko,Mass Effect - Shepard | Player Character,None,None
Liara T'Soni x Shepard (Female) | Player Character,Liara T'Soni & Shepard (Female) | Player Character,2,Mass Effect,fictional,F / F,N.H. / Ambig,Mass Effect - Liara T'Soni,Mass Effect - Shepard (Female) | Player Character,None,None
Arthur Pendragon x Guinevere 'Gwen' Pendragon,Arthur Pendragon & Guinevere 'Gwen' Pendragon,2,Merlin,fictional,M / F,White / Black,Merlin - Arthur Pendragon,Merlin - Guinevere 'Gwen' Pendragon,None,None
Arthur Pendragon x Merlin,Arthur Pendragon & Merlin,2,Merlin,fictional,M / M,White,Merlin - Arthur Pendragon,Merlin - Merlin,None,None
Bradley James x Colin Morgan,Bradley James & Colin Morgan,2,Merlin,RPF,M / M,White,Merlin - Bradley James,Merlin - Colin Morgan,None,None
Guinevere 'Gwen' Pendragon x Morgana,Guinevere 'Gwen' Pendragon & Morgana,2,Merlin,fictional,F / F,Black / White,Merlin - Guinevere 'Gwen' Pendragon,Merlin - Morgana,None,None
Morgana x Morgause,Morgana & Morgause,2,Merlin,fictional,F / F,White,Merlin - Morgana,Merlin - Morgause,None,None
Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Adrien Agreste | Chat Noir & Marinette Dupain-Cheng | Ladybug,2,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,fictional,M / F,White / E Asian (Multi),Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Marinette Dupain-Cheng | Ladybug,None,None
Juleka Couffaine | Reflekta x Rose Lavillant | Princess Fragrance,Juleka Couffaine | Reflekta & Rose Lavillant | Princess Fragrance,2,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,fictional,F / F,White,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Juleka Couffaine | Reflekta,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Rose Lavillant | Princess Fragrance,None,None
Duo Maxwell x Heero Yuy,Duo Maxwell & Heero Yuy,2,Mobile Suit Gundam Wing | 新機動戦記ガンダム W,fictional,M / M,White,Mobile Suit Gundam Wing | 新機動戦記ガンダム W - Duo Maxwell,Mobile Suit Gundam Wing | 新機動戦記ガンダム W - Heero Yuy,None,None
Raelle Collar x Scylla Ramshorn,Raelle Collar & Scylla Ramshorn,2,Motherland,fictional,F / F,White,Motherland - Raelle Collar,Motherland - Scylla Ramshorn,None,None
Frank Iero x Gerard Way,Frank Iero & Gerard Way,2,My Chemical Romance,RPF,M / M | Other,White,My Chemical Romance - Frank Iero,My Chemical Romance - Gerard Way,None,None
Aizawa Shouta | Eraserhead x Midoriya Izuku | Deku,Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Aizawa Shouta | Eraserhead,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku,None,None
Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Aizawa Shouta | Eraserhead,My Hero Academia | 僕のヒーローアカデミア - Yamada Hizashi | Present Mic,None,None
Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,Asui Tsuyu | Froppy & Uraraka Ochako | Uravity,2,My Hero Academia | 僕のヒーローアカデミア,fictional,F / F,E Asian,My Hero Academia | 僕のヒーローアカデミア - Asui Tsuyu | Froppy,My Hero Academia | 僕のヒーローアカデミア - Uraraka Ochako | Uravity,None,None
Bakugou Katsuki x Kirishima Eijirou | Red Riot,Bakugou Katsuki & Kirishima Eijirou | Red Riot,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki,My Hero Academia | 僕のヒーローアカデミア - Kirishima Eijirou | Red Riot,None,None
Bakugou Katsuki x Midoriya Izuku | Deku,Bakugou Katsuki & Midoriya Izuku | Deku,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku,None,None
Bakugou Katsuki x Todoroki Shouto | Shoto,Bakugou Katsuki & Todoroki Shouto | Shoto,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki,My Hero Academia | 僕のヒーローアカデミア - Todoroki Shouto | Shoto,None,None
Bakugou Katsuki x Uraraka Ochako | Uravity,Bakugou Katsuki & Uraraka Ochako | Uravity,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / F,E Asian,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki,My Hero Academia | 僕のヒーローアカデミア - Uraraka Ochako | Uravity,None,None
Bakugou Katsuki x Y/N | Reader,Bakugou Katsuki & Y/N | Reader,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / Ambig,E Asian / Ambig,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki,My Hero Academia | 僕のヒーローアカデミア - Y/N | Reader,None,None
Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,Jirou Kyouka | Earphone Jack & Yaoyorozu Momo | Creati,2,My Hero Academia | 僕のヒーローアカデミア,fictional,F / F,E Asian,My Hero Academia | 僕のヒーローアカデミア - Jirou Kyouka | Earphone Jack,My Hero Academia | 僕のヒーローアカデミア - Yaoyorozu Momo | Creati,None,None
Kaminari Denki | Chargebolt x Shinsou Hitoshi,Kaminari Denki | Chargebolt & Shinsou Hitoshi,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Kaminari Denki | Chargebolt,My Hero Academia | 僕のヒーローアカデミア - Shinsou Hitoshi,None,None
Midoriya Izuku | Deku x Todoroki Shouto | Shoto,Midoriya Izuku | Deku & Todoroki Shouto | Shoto,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア - Todoroki Shouto | Shoto,None,None
Midoriya Izuku | Deku x Uraraka Ochako | Uravity,Midoriya Izuku | Deku & Uraraka Ochako | Uravity,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / F,E Asian,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア - Uraraka Ochako | Uravity,None,None
Midoriya Izuku | Deku x Yagi Toshinori | All Might,Midoriya Izuku | Deku & Yagi Toshinori | All Might,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア - Yagi Toshinori | All Might,None,None
Takami Keigo | Hawks x Touya Todoroki | Dabi,Takami Keigo | Hawks & Touya Todoroki | Dabi,2,My Hero Academia | 僕のヒーローアカデミア,fictional,M / M,E Asian,My Hero Academia | 僕のヒーローアカデミア - Takami Keigo | Hawks,My Hero Academia | 僕のヒーローアカデミア - Touya Todoroki | Dabi,None,None
Abigail Beethoven 'Abby' Sciuto x Ziva David,Abigail Beethoven 'Abby' Sciuto & Ziva David,2,NCIS,fictional,F / F,White / MENA,NCIS - Abigail Beethoven 'Abby' Sciuto,NCIS - Ziva David,None,None
Anthony DiNozzo x Jethro Gibbs,Anthony DiNozzo & Jethro Gibbs,2,NCIS,fictional,M / M,White,NCIS - Anthony DiNozzo,NCIS - Jethro Gibbs,None,None
Lee Donghyuck | Haechan x Mark Lee | Mark,Lee Donghyuck | Haechan & Mark Lee | Mark,2,NCT,RPF,M / M,E Asian,NCT - Lee Donghyuck | Haechan,NCT - Mark Lee | Mark,None,None
Lee Jeno | Jeno x Na Jaemin | Jaemin,Lee Jeno | Jeno & Na Jaemin | Jaemin,2,NCT,RPF,M / M,E Asian,NCT - Lee Jeno | Jeno,NCT - Na Jaemin | Jaemin,None,None
Haruno Sakura x Yamanaka Ino,Haruno Sakura & Yamanaka Ino,2,Naruto,fictional,F / F,E Asian,Naruto - Haruno Sakura,Naruto - Yamanaka Ino,None,None
Hatake Kakashi x Umino Iruka,Hatake Kakashi & Umino Iruka,2,Naruto,fictional,M / M,E Asian,Naruto - Hatake Kakashi,Naruto - Umino Iruka,None,None
Uchiha Sasuke x Uzumaki Naruto,Uchiha Sasuke & Uzumaki Naruto,2,Naruto,fictional,M / M,E Asian,Naruto - Uchiha Sasuke,Naruto - Uzumaki Naruto,None,None
Erlang Shen | Yang Jian x Liu Chenxiang,Erlang Shen | Yang Jian & Liu Chenxiang,2,New Gods | 新神榜,fictional,M / M,E Asian,New Gods | 新神榜 - Erlang Shen | Yang Jian,New Gods | 新神榜 - Liu Chenxiang,None,None
Kim Dokja x Yoo Joonghyuk,Kim Dokja & Yoo Joonghyuk,2,Omniscient Reader | 전지적 독자 시점,fictional,M / M,E Asian,Omniscient Reader | 전지적 독자 시점 - Kim Dokja,Omniscient Reader | 전지적 독자 시점 - Yoo Joonghyuk,None,None
Aurora x Mulan,Aurora & Mulan,2,Once Upon a Time,fictional,F / F,White / E Asian,Once Upon a Time - Aurora,Once Upon a Time - Mulan,None,None
Belle x Mr. Gold | Rumpelstiltskin,Belle & Mr. Gold | Rumpelstiltskin,2,Once Upon a Time,fictional,F / M,White,Once Upon a Time - Belle,Once Upon a Time - Mr. Gold | Rumpelstiltskin,None,None
Belle x Ruby | Red Riding Hood,Belle & Ruby | Red Riding Hood,2,Once Upon a Time,fictional,F / F,White,Once Upon a Time - Belle,Once Upon a Time - Ruby | Red Riding Hood,None,None
Emma Swan x Killian Jones | Captain Hook,Emma Swan & Killian Jones | Captain Hook,2,Once Upon a Time,fictional,F / M,White,Once Upon a Time - Emma Swan,Once Upon a Time - Killian Jones | Captain Hook,None,None
Emma Swan x Regina Mills | Evil Queen,Emma Swan & Regina Mills | Evil Queen,2,Once Upon a Time,fictional,F / F,White / Latin,Once Upon a Time - Emma Swan,Once Upon a Time - Regina Mills | Evil Queen,None,None
Regina Mills | Evil Queen x Ruby | Red Riding Hood,Regina Mills | Evil Queen & Ruby | Red Riding Hood,2,Once Upon a Time,fictional,F / F,Latin / White,Once Upon a Time - Regina Mills | Evil Queen,Once Upon a Time - Ruby | Red Riding Hood,None,None
Harry Styles x Louis Tomlinson,Harry Styles & Louis Tomlinson,2,One Direction,RPF,M / M,White,One Direction - Harry Styles,One Direction - Louis Tomlinson,None,None
Harry Styles x Niall Horan,Harry Styles & Niall Horan,2,One Direction,RPF,M / M,White,One Direction - Harry Styles,One Direction - Niall Horan,None,None
Harry Styles x Zayn Malik,Harry Styles & Zayn Malik,2,One Direction,RPF,M / M,White / S Asian,One Direction - Harry Styles,One Direction - Zayn Malik,None,None
Liam Payne x Louis Tomlinson,Liam Payne & Louis Tomlinson,2,One Direction,RPF,M / M,White,One Direction - Liam Payne,One Direction - Louis Tomlinson,None,None
Liam Payne x Niall Horan,Liam Payne & Niall Horan,2,One Direction,RPF,M / M,White,One Direction - Liam Payne,One Direction - Niall Horan,None,None
Liam Payne x Zayn Malik,Liam Payne & Zayn Malik,2,One Direction,RPF,M / M,White / S Asian,One Direction - Liam Payne,One Direction - Zayn Malik,None,None
Louis Tomlinson x Zayn Malik,Louis Tomlinson & Zayn Malik,2,One Direction,RPF,M / M,White / S Asian,One Direction - Louis Tomlinson,One Direction - Zayn Malik,None,None
